ID,VIDEO_ID,TITLE,PUBLISHEDAT,CHANNELID,CHANNELTITLE,CATEGORYID,CATEGORY_TITLE,TRENDING_DATE,VIEW_COUNT,LIKES,DISLIKES,COMMENT_COUNT,COMMENTS_DISABLED,COUNTRY
e47cb8f1-8ce3-474f-8626-393192b79084,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-06-29,760123,191282,724,52479,FALSE,BR
cb189b63-6923-43ce-8273-9501876dfc29,WGYYI1zhp2Y,Где Навальный? Тюремный ад для главного врага Путина,2021-03-01,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-02,3157794,316923,12785,51795,FALSE,RU
5c022980-783e-4faa-90b6-08bc61b9e4f8,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-06-28,706540,184117,674,51403,FALSE,BR
bb23b0a6-383c-4262-9f42-3bd7593f38c5,y7rMbcKBW-E,Томск в плену у депутатской мафии,2020-09-03,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-07,3539003,328756,5559,49873,FALSE,RU
0299fa22-4f30-43b3-abc2-451f6ea1088e,Cs1b5qvCZ54,Тайна валдайской дачи Путина,2021-04-15,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-17,4162740,405223,16979,49580,FALSE,RU
e1b429e9-a1d6-457a-b2d3-5d4f0a42199a,rHbcxH3-XPg,Взятки. Дворцы. Самолёты. За что продали народ Татарстана,2020-09-09,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-12,3220033,262789,6623,49420,FALSE,RU
e542936f-1c2e-4130-8b7c-07e97228131e,y7rMbcKBW-E,Томск в плену у депутатской мафии,2020-09-03,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-06,3357092,319222,5417,48661,FALSE,RU
a9700f1b-3fb1-4eb9-b251-0e1c6b888138,OjYl1xvssJY,Золотое безумие. Реальные фотографии дворца Путина,2022-01-20,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2022-01-21,3743692,362684,0,47869,FALSE,RU
ba05bd6e-8bad-41b4-8f59-b6645230db24,nIQSS7_44wQ,Финальная битва между добром и нейтралитетом,2021-04-18,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-18,984838,223572,5016,47703,FALSE,RU
9c95dceb-713f-4194-a524-b0c00dc1f82a,5pMl6InVBlA,"Привет, это Навальный",2020-10-08,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-10-09,2035664,386845,11044,47558,FALSE,RU
58bb9eac-2925-4f9b-acb2-d7fcdd161383,rHbcxH3-XPg,Взятки. Дворцы. Самолёты. За что продали народ Татарстана,2020-09-09,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-11,2967542,253114,6183,47523,FALSE,RU
c55d5c89-0e09-472b-869d-345db500d2d6,pOhmDeih19g,Вся правда об отравлении Навального,2021-06-10,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-06-14,3739057,352756,15673,47396,FALSE,RU
5cbc9ab7-095f-45ad-94cf-d383ad2fe2ce,pOhmDeih19g,Вся правда об отравлении Навального,2021-06-10,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-06-13,3508013,341146,15077,46727,FALSE,RU
f7a1bc6e-aa8f-4a21-bc18-46e321a85ff3,9cP2FIOnVC8,MINHA CERIMÔNIA DE CASAMENTO,2021-06-26,UCVNouUw3d3l5JYVCxhAQXKA,Bispo Bruno Leonardo,29,Nonprofits & Activism,2021-06-27,547303,159696,533,46294,FALSE,BR
2fe323f1-c6c7-414d-af7c-45fbc8d88698,y7rMbcKBW-E,Томск в плену у депутатской мафии,2020-09-03,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-05,2996542,298805,4919,46224,FALSE,RU
3224fe48-c164-4d0e-bdc9-c0d3f53e7c4c,ThjrXToqqpw,Как освободить Навального. Наш план,2021-03-23,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-24,1648473,236471,11537,45244,FALSE,RU
f97837a1-5c9c-4316-aad1-ab359dfacc13,pOhmDeih19g,Вся правда об отравлении Навального,2021-06-10,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-06-12,3105962,319000,13653,44838,FALSE,RU
ced421c9-de5b-4e72-8ae4-d0c092b5593b,rHbcxH3-XPg,Взятки. Дворцы. Самолёты. За что продали народ Татарстана,2020-09-09,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-10,2407023,230148,5134,41672,FALSE,RU
271db8f3-a36f-4c85-9cbb-cc2593ca3cc6,Cs1b5qvCZ54,Тайна валдайской дачи Путина,2021-04-15,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-16,3275213,350437,13334,41571,FALSE,RU
d61ac3ed-5a8f-4dfb-915b-bf6caaba5f45,y7rMbcKBW-E,Томск в плену у депутатской мафии,2020-09-03,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-04,2390900,264127,4050,40643,FALSE,RU
d3439bf2-fba2-4eb4-ac85-cb534729f552,5QDtACuZRp8,Фантастические твари и сколько они получают,2021-04-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-05-02,3681482,356757,13928,38598,FALSE,RU
03731739-b99c-4003-a4eb-1963490e8fc5,IYD-0XqDazQ,"ЦРУ, Ротенберг и ёршик. Как пропагандисты отмазывают Путина",2021-02-12,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-02-12,2201016,345435,8123,38011,FALSE,RU
22a28dde-5540-4bf9-9782-7191a66b3ed3,5QDtACuZRp8,Фантастические твари и сколько они получают,2021-04-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-05-01,3397868,344930,12852,37474,FALSE,RU
079c6203-7950-45cd-bc17-f92fb9f0bf36,pOhmDeih19g,Вся правда об отравлении Навального,2021-06-10,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-06-11,2279181,269288,9729,37137,FALSE,RU
3405b295-7442-4cb6-b376-48054929231f,xNa5XknuXkQ,"Яхты, взятки и любовница. Что скрывает министр Лавров",2021-09-16,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-09-19,3615958,292353,13600,35712,FALSE,RU
a90db67b-0ec5-4d79-bd29-6985232942d2,5QDtACuZRp8,Фантастические твари и сколько они получают,2021-04-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-30,2940808,322492,11459,35421,FALSE,RU
f5abba7d-ffc4-48fc-8edc-c022510a2f2b,xNa5XknuXkQ,"Яхты, взятки и любовница. Что скрывает министр Лавров",2021-09-16,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-09-18,3074266,269654,11488,33508,FALSE,RU
320157b1-97cd-4e7a-8891-9be167a817e4,2RWJedMgkJU,Володин. Влюбленный в Путина миллиардер,2021-07-22,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-07-26,3383887,249372,7308,33049,FALSE,RU
8bbfbe1f-4f60-4b32-9e7d-e06d71a84222,5QDtACuZRp8,Фантастические твари и сколько они получают,2021-04-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-29,2345658,282917,9040,31323,FALSE,RU
ab33b464-c138-4095-adce-f97ecd9eb3ac,2RWJedMgkJU,Володин. Влюбленный в Путина миллиардер,2021-07-22,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-07-25,2831541,227467,6266,31135,FALSE,RU
